ID,NOMBCOMP1,DOMICILIO,COORDX,COORDY,in_food_desert,venta_frutas,venta_verduras,superficie_bodega,num_entregas_general,num_recojos_general,num_lugares,lugar_principal,vehiculo_recojo,num_entregas_fv,num_recojos_fv,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_no_oferta
16518,"ARQUE MAMANI , BERNA MODESTA",AH LOMA DE CORVINA  LAS VERTIENTES  Mz. I Lt. 2,-76.96041,-12.22704,0,,,,,,,,,,,,,,,,
644,"HUAMANI ROMAN, PRIMITIVA",ASC POBLADORES WASI WASI Mz.N Lt.6,-76.96024,-12.22553,1,,,,,,,,,,,,,,,,
637,"RAMON RIVEROS, MELENDRES",COO LAS VERTIENTES Mz.Z1A Lt.1-A,-76.95943,-12.22679,1,,,,,,,,,,,,,,,,
1538,"HUANCA CHOQUE, SONIA",ASC LEONCIO PRADO Mz.C Lt.1,-76.95866,-12.22387,1,,,,,,,,,,,,,,,,
641,"CANCHARI CISNEROS, FELICITAS",ASC VILLA TRINIDAD DEL SUR Mz.M Lt.20,-76.95799,-12.22725,1,,,,,,,,,,,,,,,,
604,"ALCALDE JIMENEZ, AGUSTINA",VILLA EL MILAGRO Mz.R Lt.3,-76.95774,-12.23764,1,,,,,,,,,,,,,,,,
651,"ORTEGA LIVIAS, JOSEFINA CATALINA",ASC VILLA TRINIDAD Mz.J Lt.24,-76.95752,-12.22603,1,,,,,,,,,,,,,,,,
37933,INVERSIONES GUILLEN LOPEZ S.A.C,PAN. SUR KM 23.5 ZONA DE PLAYA Mz.V.V. Lt.20,-76.95704,-12.23698,0,,,,,,,,,,,,,,,,
36338,"ROMERO CASAFRANCA, RENILDA",ASC VILLA TRINIDAD Mz.H Lt.11,-76.95689,-12.22188,0,,,,,,,,,,,,,,,,
1535,"AGUERO OLIVA, FLOR DE MARIA",AH VILLA EL MILAGRO Mz.O Lt.01,-76.95684,-12.23803,1,,,,,,,,,,,,,,,,
856,"CORREA DE LA PAZ , OLGA LIDIA",TOURING CAMP,-76.95665,-12.23684,1,,,,,,,,,,,,,,,,
633,"CUADROS ROCA DE GARAY, AURORA MARISOL",AV PANAMERICANA SUR KM 21.5,-76.95508,-12.23704,1,,,,,,,,,,,,,,,,
850,"TIRADO LEON , MONICA YSABEL",ASC VILLA MILAGROS  COST. REST. BRUNO,-76.95502,-12.23848,1,,,,,,,,,,,,,,,,
629,"TABORI LAOS, ROBERTO",ASC VILLA MILAGROS ZONA B Mz.L Lt.11,-76.95497,-12.23832,1,,,,,,,,,,,,,,,,
634,"ALVINO SERRANO, ROSARIO",ASC VILLA EL MILAGRO ZONA B Mz.L Lt.2,-76.95449,-12.23749,1,,,,,,,,,,,,,,,,
844,"MORALES SIPAN , YOSELYN DALLANA",ZONA PLAYA VILLA EL MILAGRO    Mz. K Lt. 3,-76.95435,-12.23751,1,,,,,,,,,,,,,,,,
859,"FERNANDEZ URBANO , JULIA GAVINA",URB LAS VERTIENTES CRR PANAMERICANA SUR KM Nro. 22,-76.95431,-12.23754,1,,,,,,,,,,,,,,,,
843,"MONTOYA NINAPAITAN , JOSE LUIS",AV SAN MARTIN  Mz. F Lt. 3,-76.95427,-12.23911,1,,,,,,,,,,,,,,,,
1485,"ARRONE MOTTA, ELENA",URB VILLA EL MILAGRO Mz.G Lt.1,-76.95423,-12.2385,1,,,,,,,,,,,,,,,,
849,"DELGADO VARGAS , MICAELA",CRR PANAMERICANA SUR KM Nro. 21.5,-76.95421,-12.23761,1,,,,,,,,,,,,,,,,
847,"GIRIO RODRIGUEZ , ERNESTINA GENOVEVA",ASC VILLA EL MILAGRO    Mz. E Lt. 19,-76.9542,-12.23812,1,,,,,,,,,,,,,,,,
6387,"SORAS RAMOS DE VERASTEGUI, SABINA",URB SECT I GPO 18 Mz.O Lt.14,-76.95212,-12.19623,0,,,,,,,,,,,,,,,,
6314,"ESTEBAN ANYACO, SARA MARGOT",SEC.1 GRUPO 19 Mz.J Lt.3,-76.95118,-12.19961,0,,,,,,,,,,,,,,,,
34918,"HUAMAN HUAMANCHA, HENRY ULISES",AH PILAR NORES Mz.B Lt.9,-76.95096,-12.23237,0,,,,,,,,,,,,,,,,
15449,"DE LA CRUZ VILLANUEVA, EDITH",SEC 6 GPO 13 Mz.F Lt.4,-76.95039,-12.22078,0,,,,,,,,,,,,,,,,
27232,"ESPINOZA FLORES, MARLENE",SEC 6 GRP 3A Mz.C Lt.5,-76.95022,-12.21207,0,,,,,,,,,,,,,,,,
8775,"SILVA FLORES , HELENE",GRP 6 SEC 1  Mz. D Lt. 7,-76.94961,-12.18905,0,,,,,,,,,,,,,,,,
37179,"GUERRERO FELIX, TEODOCIA",GRP 10  SECTOR 6 AV SIMON BOLIVAR Mz.J Lt.10,-76.94942,-12.22426,0,,,,,,,,,,,,,,,,
34637,"HUAMANI CABEZAS, CLAUDIA",SECTOR 6 GRPO 9 Mz.B Lt.4,-76.94852,-12.22332,0,,,,,,,,,,,,,,,,
7779,"GONZALES YUPANQUI, MARIBEL ANGELINA",GRP 7   SECTOR 1 Mz.C Lt.18,-76.94819,-12.19051,0,,,,,,,,,,,,,,,,
15072,"CARVAJAL QUISPE, ROBERTO",URB SEC 6 GRPO 5 Mz.M Lt.8,-76.94809,-12.21665,0,,,,,,,,,,,,,,,,
36075,"ANTURCO FERNANDEZ, VICTORIA",GRP 6 SECTOR 6 Mz.M Lt.5,-76.94785,-12.22015,0,,,,,,,,,,,,,,,,
7097,"PAREDES ROMERO, GABRIELA",V E S SEC 1 GPO 14 Mz.A Lt.16,-76.9474,-12.19774,0,,,,,,,,,,,,,,,,
599,"LUYO CARBONERO, AMELIA",URB LLANAVILLA Mz.A Lt.10,-76.94728,-12.24274,1,,,,,,,,,,,,,,,,
1498,"GUTIERREZ CABESUDO, LIDIA MARILU",URB LLANAVILLA AV PANAMERICANA SUR Mz.A Lt.9,-76.94714,-12.24253,1,,,,,,,,,,,,,,,,
13505,"CUEVA ALCANTARA, ELIZABETH",GRP 8  SECTOR 6 Mz.A Lt.14,-76.94676,-12.22574,0,,,,,,,,,,,,,,,,
15669,"LEZAMETA HERNANDEZ, RUTH",SEC 6 GRUPO 6 Mz.L Lt.17,-76.94676,-12.22041,0,,,,,,,,,,,,,,,,
1105,"PAREJA HUACHACA, LUCILA GUILLERMA",MDO MODELO 1 PSTO 2,-76.94644,-12.20827,0,,,,,,,,,,,,,,,,
1521,"DELGADO MORALES, YSTRA MARIA JUDITH",AH LLANAVILLA Mz.C Lt.13,-76.94634,-12.24293,1,,,,,,,,,,,,,,,,
1499,"TORRES MENDOZA, ANGELICA",URB LLANAVILLA Mz.C Lt.24,-76.94603,-12.24257,1,,,,,,,,,,,,,,,,
34633,"DE LA CRUZ SOTACURO, MARIA",GRP 6 SECTOR 7 COLEGIO 6071,-76.946,-12.22417,0,,,,,,,,,,,,,,,,
37867,"VELLON BARRERA, ELTER",GRP 5 SEC G Mz.A Lt.14,-76.94598,-12.21845,0,,,,,,,,,,,,,,,,
7045,"ALBERCO RAMOS, WILDER ARISTIDES",AV REVOLUCION SEC 1 GRP 9 Mz.D Lt.17,-76.94587,-12.19704,0,,,,,,,,,,,,,,,,
13784,"CHULES MENDOZA, MARIA ANGELICA",GRP 1 SECTOR 9 AV MARIA MOYANO Mz.H Lt.17,-76.94447,-12.23102,0,,,,,,,,,,,,,,,,
28348,"JIENEZ GUILLEN, YASHIRO",GRP 6 SECTOR 2 Mz.L Lt.12,-76.94243,-12.20053,0,,,,,,,,,,,,,,,,
12980,"GOMEZ HUAMANI, EDMUNDO",GRP.14 SEC.II Mz.J Lt.7,-76.94086,-12.21104,0,,,,,,,,,,,,,,,,
14591,"ROMERO TRUJILLO , ALEJANDRA",GRP 20 SECTOR 3    Mz. N Lt. 14,-76.93911,-12.21854,0,,,,,,,,,,,,,,,,
35546,"TORRES GOMEZ , MILAGROS",GRP 19 SEC 3  Mz. A Lt. 14,-76.93908,-12.21507,0,,,,,,,,,,,,,,,,
12981,"CORONEL DE VERA, CLOTILDE",SEC 2 GRUP 15 Mz.K Lt.9,-76.9385,-12.2114,0,,,,,,,,,,,,,,,,
14541,"COTRINA RUIZ DE SUAREZ, FRANCISCA CATALINA",GRP 20 SECTOR 3 Mz.B Lt.16,-76.93716,-12.21861,0,,,,,,,,,,,,,,,,
33985,"VEGA DE MOSQUERA, INES",SEC 2 GRUPO 9 Mz.G Lt.16,-76.93698,-12.20997,0,,,,,,,,,,,,,,,,
35830,"LOZANO DE CORDOVA, GLADYS YOLANDA",GRP 14 SECTOR 3 Mz.M Lt.13,-76.93558,-12.21627,0,,,,,,,,,,,,,,,,
12733,"GARRIAZO HUAMANI, SEBASTIAN",SEC 2 GRP 5 Mz.K Lt.2,-76.93441,-12.21028,0,,,,,,,,,,,,,,,,
37129,"VALENZUELA PAITAN, EDGAR RAUL",GRP 1  SECTOR 10 Mz.D Lt.8,-76.93396,-12.23677,0,,,,,,,,,,,,,,,,
37951,"PACHECO SANCHO, ROXI DEL PILAR",SEC 3 GRP 31 Mz.C4 Lt.6,-76.9329,-12.2312,0,,,,,,,,,,,,,,,,
1752,"REQUEJO TORO , ZULI EYNELITA",PLAYA SAN ANTONIO   Nro. SN,-76.93139,-12.25231,1,,,,,,,,,,,,,,,,
12674,"TERRONES HUARI, JOSE LUIS",PQU INDUSTRIAL PARCELA 2 Mz.O Lt.2,-76.93139,-12.20622,0,,,,,,,,,,,,,,,,
14320,"APOLINARIO SANTIAGO DE UCEDA , YSABEL",MDO ATAHUALPA,-76.93127,-12.22357,0,,,,,,,,,,,,,,,,
1210,"TORREJON PORTAL, MARIA TERESA",URB VILLA EL SALVADOR AV PAN SUR SAN ANTONIO Mz.G Lt.9,-76.93104,-12.25158,1,,,,,,,,,,,,,,,,
1228,"HUAMANI ALLCCA, ANTONIA",AH LAS PALMERAS Mz.D Lt.4,-76.92976,-12.25303,1,,,,,,,,,,,,,,,,
13123,"CASTILLO ALVAREZ, LINA ALVISAR",GRP 18 SEC 3 Mz.B Lt.11,-76.92869,-12.22687,0,,,,,,,,,,,,,,,,
13479,"SICCHA CHAVEZ, ,MARIA",GRUP 2 Mz.U Lt.9,-76.9275,-12.2445,0,,,,,,,,,,,,,,,,
35399,"LOPEZ QUISPE, TEOFILO",AH ERIBERTO RAMOS GPO 2 Mz.O Lt.27,-76.9269,-12.2426,0,,,,,,,,,,,,,,,,
13469,"RAMIREZ BALDEON, NELFREDA",AH ERIBERTO RAMOS Mz.E Lt.19,-76.92631,-12.24548,0,,,,,,,,,,,,,,,,
35215,"ACHA CLEMENTE, JAIME MANUEL",URB PACHACAMAC Mz.R-1 Lt.6,-76.92529,-12.24017,0,,,,,,,,,,,,,,,,
33534,"CHARCA CARPIO, VILMA",URB PACHACAMAC Mz.I Lt.9,-76.92522,-12.21249,0,,,,,,,,,,,,,,,,
13582,"ESPINOZA PAPUYCO, ANDRES",Mz.B Lt.17,-76.92433,-12.24419,0,,,,,,,,,,,,,,,,
36385,"ALVARADO HUANCA, DINA",C.E. PERUANO CANADIENCE CA VEREDA Nro.26,-76.92344,-12.22933,0,,,,,,,,,,,,,,,,
36426,"VILLAVICENCIO NIMA, DANITZA",URB PACHACAMAC Mz.D Lt.23,-76.92149,-12.22858,0,,,,,,,,,,,,,,,,
48,"HUAMAN ANTUREZ, JOSEFINA",URB PACHACAMAC 2da ETAPA Mz.G Lt.23,-76.92061,-12.23399,0,,,,,,,,,,,,,,,,
33339,"BERROCAL EVANGELISTA, ANTONINO LEONCIO",MDO LAS BRISAS PTO 128,-76.91977,-12.23925,0,,,,,,,,,,,,,,,,
1331,"RAMIREZ ARIAS, REBECA",URB SAN PEDRO AV LADRILLERA Mz.I Lt.9,-76.88034,-12.26871,1,,,,,,,,,,,,,,,,
336,"CHUMPITAZ CARAZA, ROSARIO",EX FUNDO BUENA VISTA Mz.D Lt.9,-76.87543,-12.25447,1,,,,,,,,,,,,,,,,
1383,"PALACIOS CHAVAR, CARLOS  ALBERTO",URB PACHACAMAC   I ETAPA AV 200 MILLAS,-76.83752,-12.30511,1,,,,,,,,,,,,,,,,
